name,progress
Faraaz,"{""1"":""Safe"",""2"":""Judy"",""3"":""Sam"",""4"":""Sam"",""5"":""Safe"",""6"":""Sam"",""7"":""Harriet"",""8"":""Sam"",""9"":""Ellie"",""10"":"""",""11"":"""",""12"":""""}"
Jack,"{""1"":""Safe"",""2"":""Judy"",""3"":""Reece"",""4"":""Reece"",""5"":""Reece"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Matthew"",""9"":""Matthew"",""10"":"""",""11"":"""",""12"":""""}"
Jade,"{""1"":""Safe"",""2"":""Judy"",""3"":""Amanda"",""4"":""Ross"",""5"":""Amanda"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Sam"",""9"":""Ellie"",""10"":"""",""11"":"""",""12"":""""}"
James,"{""1"":""Safe"",""2"":""Judy"",""3"":""Reece"",""4"":""Reece"",""5"":""Reece"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Matthew"",""9"":""Matthew"",""10"":"""",""11"":"""",""12"":""""}"
Matthew,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Sam"",""5"":""Amanda"",""6"":""Sam"",""7"":""Harriet"",""8"":""Sam"",""9"":""Jade"",""10"":"""",""11"":"""",""12"":""""}"
Rachel,"{""1"":""Safe"",""2"":""Ross"",""3"":""Ross"",""4"":""Ross"",""5"":""Reece"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Sam"",""9"":""Ellie"",""10"":"""",""11"":"""",""12"":""""}"
Roxy,"{""1"":""Safe"",""2"":""James"",""3"":""James"",""4"":""Ross"",""5"":""Reece"",""6"":""Fiona"",""7"":""Harriet"",""8"":""James"",""9"":""James"",""10"":"""",""11"":"""",""12"":""""}"
Stephen,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Maz"",""5"":""Amanda"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Sam"",""9"":""Ellie"",""10"":"""",""11"":"""",""12"":""""}"
Ellie,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Reece"",""5"":""Amanda"",""6"":""Sam"",""7"":""Jade"",""8"":""Sam"",""9"":""Jade"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Jessie,"{""1"":""Safe"",""2"":""Judy"",""3"":""Amanda"",""4"":""Reece"",""5"":""Amanda"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Stephen"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Sam,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Reece"",""5"":""Amanda"",""6"":""Fiona"",""7"":""Harriet"",""8"":""Ellie"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Adam,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Jade"",""5"":""Reece"",""6"":""Jade"",""7"":""Matthew"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Harriet,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Ross"",""5"":""Amanda"",""6"":""Fiona"",""7"":""Rachel"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Fiona,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Ross"",""5"":""Reece"",""6"":""Sam"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Reece,"{""1"":""Safe"",""2"":""Adam"",""3"":""Hugo"",""4"":""Ross"",""5"":""Safe"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Amanda,"{""1"":""Safe"",""2"":""Jade"",""3"":""Jade"",""4"":""Jade"",""5"":""Safe"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Maz,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Jade"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Ross,"{""1"":""Safe"",""2"":""Judy"",""3"":""Hugo"",""4"":""Stephen"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Hugo,"{""1"":""Safe"",""2"":""Judy"",""3"":""Amanda"",""4"":""Banished"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Ben,"{""1"":""Safe"",""2"":""Judy"",""3"":""Murdered"",""4"":""Murdered"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
Judy,"{""1"":""Safe"",""2"":""Sam"",""3"":""Banished"",""4"":""Banished"",""5"":""Banished"",""6"":""Banished"",""7"":""Banished"",""8"":""Banished"",""9"":""Banished"",""10"":""Banished"",""11"":""Banished"",""12"":""Banished""}"
Netty,"{""1"":""Safe"",""2"":""Murdered"",""3"":""Murdered"",""4"":""Murdered"",""5"":""Murdered"",""6"":""Murdered"",""7"":""Murdered"",""8"":""Murdered"",""9"":""Murdered"",""10"":""Murdered"",""11"":""Murdered"",""12"":""Murdered""}"
